file,datetime,uploaddir,sampratedir
HOF-IW0006I21.dat,2022-04-24 16:00:00,20220603,
Absolute Sensors22.dat,2022-04-24 20:00:00,20220603,
HOF-IW0006I22.dat,2022-04-24 20:00:00,20220603,
HOF-IW0006I23.dat,2022-04-25 00:00:00,20220603,
Absolute Sensors23.dat,2022-04-25 00:00:00,20220603,
Absolute Sensors24.dat,2022-04-25 04:00:00,20220603,
HOF-IW0006I24.dat,2022-04-25 04:00:00,20220603,
HOF-IW0006S26.dat,2022-04-25 08:00:00,20220603,
Absolute Sensors25.dat,2022-04-25 08:00:00,20220603,
HOF-IW0006S27.dat,2022-04-25 12:00:00,20220603,
Absolute Sensors26.dat,2022-04-25 12:00:00,20220603,
HOF-IW0006I26.dat,2022-04-25 12:00:00,20220603,
Absolute Sensors27.dat,2022-04-25 16:00:00,20220603,
HOF-IW0006I27.dat,2022-04-25 16:00:00,20220603,
HOF-IW0006S28.dat,2022-04-25 16:00:00,20220603,
HOF-IW0006S29.dat,2022-04-25 20:00:00,20220603,
Absolute Sensors28.dat,2022-04-25 20:00:00,20220603,
HOF-IW0006I28.dat,2022-04-25 20:00:00,20220603,
HOF-IW0006S30.dat,2022-04-26 00:00:00,20220603,
Absolute Sensors29.dat,2022-04-26 00:00:00,20220603,
HOF-IW0006I29.dat,2022-04-26 00:00:00,20220603,
Absolute Sensors30.dat,2022-04-26 04:00:00,20220603,
HOF-IW0006I30.dat,2022-04-26 04:00:00,20220603,
Absolute Sensors31.dat,2022-04-26 08:00:00,20220603,
HOF-IW0006I31.dat,2022-04-26 08:00:00,20220603,
HOF-IW0006S33.dat,2022-04-26 12:00:00,20220603,
Absolute Sensors32.dat,2022-04-26 12:00:00,20220603,
HOF-IW0006I33.dat,2022-04-26 16:00:00,20220603,
HOF-IW0006S34.dat,2022-04-26 16:00:00,20220603,
Absolute Sensors33.dat,2022-04-26 16:00:00,20220603,
HOF-IW0006I34.dat,2022-04-26 20:00:00,20220603,
Absolute Sensors34.dat,2022-04-26 20:00:00,20220603,
HOF-IW0006S35.dat,2022-04-26 20:00:00,20220603,
Absolute Sensors35.dat,2022-04-27 00:00:00,20220603,
HOF-IW0006S36.dat,2022-04-27 00:00:00,20220603,
Absolute Sensors36.dat,2022-04-27 04:00:00,20220603,
HOF-IW0006S37.dat,2022-04-27 04:00:00,20220603,
HOF-IW0006I36.dat,2022-04-27 04:00:00,20220603,
Absolute Sensors37.dat,2022-04-27 08:00:00,20220603,
HOF-IW0006I37.dat,2022-04-27 08:00:00,20220603,
HOF-IW0006S38.dat,2022-04-27 08:00:00,20220603,
Absolute Sensors38.dat,2022-04-27 12:00:00,20220603,
HOF-IW0006I38.dat,2022-04-27 12:00:00,20220603,
HOF-IW0006I39.dat,2022-04-27 16:00:00,20220603,
HOF-IW0006S40.dat,2022-04-27 16:00:00,20220603,
Absolute Sensors39.dat,2022-04-27 16:00:00,20220603,
HOF-IW0006I40.dat,2022-04-27 20:00:00,20220603,
Absolute Sensors40.dat,2022-04-27 20:00:00,20220603,
HOF-IW0006S41.dat,2022-04-27 20:00:00,20220603,
HOF-IW0006S42.dat,2022-04-28 00:00:00,20220603,
Absolute Sensors41.dat,2022-04-28 00:00:00,20220603,
HOF-IW0006I41.dat,2022-04-28 00:00:00,20220603,
HOF-IW0006S43.dat,2022-04-28 04:00:00,20220603,
Absolute Sensors42.dat,2022-04-28 04:00:00,20220603,
Absolute Sensors43.dat,2022-04-28 08:00:00,20220603,
HOF-IW0006I43.dat,2022-04-28 08:00:00,20220603,
HOF-IW0006S44.dat,2022-04-28 08:00:00,20220603,
Absolute Sensors44.dat,2022-04-28 12:00:00,20220603,
HOF-IW0006I44.dat,2022-04-28 12:00:00,20220603,
HOF-IW0006S46.dat,2022-04-28 16:00:00,20220603,
HOF-IW0006I45.dat,2022-04-28 16:00:00,20220603,
